UNLOCODE,PORT_NAME,LAT,LON
AEAJM,Ajman,25.4167,55.4333
AEDAS,Das Island,25.15,52.8667
AEDXB,Dubai (Port Rashid),25.25,55.2833
AEFJR,Fujairah,25.1667,56.35
AEJEA,Jebel Dhanna/Ruwais,25.0,55.05
AEKLF,Khor Fakkan,25.35,56.3667
AEMSA,Mina Saqr,25.9667,56.05
AEMZD,Mina Zayed,24.5333,54.3833
ALDRZ,Durres,41.3167,19.45
ALSAR,Sarande,39.8833,20.0
ALSHG,Shengjin,41.8167,19.6
ALVOA,Vlore,40.4833,19.4833
ANPHI,Philipsburg,18.0833,-63.1667
ANWIL,Willemstad,12.1,-68.9333
AOCAB,Cabinda,-5.5333,12.1833
AOLAD,Luanda,-8.8,13.25
AOLOB,Lobito,-12.3333,13.5667
AOMSZ,Namibe,-15.1833,12.1167
AOPBN,Porto Amboim,-10.7333,13.75
AOSOY,Soyo,-6.3333,12.2333
ARBHI,Bahia Blanca,-38.7833,-62.2667
ARBUE,Buenos Aires,-34.6,-58.3667
ARCOU,Concepcion del Uruguay,-32.4167,-58.2167
ARCRD,Comodoro Rivadavia,-45.85,-67.4333
ARMDQ,Mar del Plata,-38.0,-57.5333
ARNEC,Necochea,-38.5167,-58.7667
ARPMY,Puerto Madryn,-42.7667,-57.8833
ARRGL,Rio Gallegos,-51.6167,-68.9667
ARROS,Rosario,-32.95,-60.55
ARSFN,Santa Fe,-31.65,-60.7
ARUSH,Ushuaia,-54.8167,-68.3
ASPPG,Pago Pago,-14.2833,-170.6833
AUBNE,Brisbane,-27.45,153.0667
AUCNS,Cairns,-16.9333,145.7833
AUDPO,Devonport,-41.1833,146.3667
AUDRW,Darwin,-12.4667,130.8333
AUFRE,Fremantle,-32.05,115.7333
AUGEX,Geelong,-38.15,144.3667
AUHBA,Hobart,-42.8833,147.3333
AUMEL,Melbourne,-37.8333,144.9667
AUMKY,Mackay,-21.1,149.2333
AUPAE,Adelaide,-34.85,138.5
AUSYD,Sydney,-33.9167,151.2
AUTSV,Townsville,-19.25,146.8333
AWORJ,Oranjestad,12.5167,-70.3667
AZBAK,Baku,40.3333,49.85
BBBGI,Bridgetown,13.1,-59.6333
BDCGP,Chittagong,22.3167,91.8
BDMGL,Mongla,22.4833,89.5833
BEANR,Antwerp,51.2333,4.3833
BEBRU,Brussels,50.8667,4.35
BEGNE,Ghent,51.0333,3.7333
BELGG,Liege,50.6667,5.5667
BEZEE,Zeebrugge,51.3333,3.2167
BGVAR,Varna,43.2167,27.9000
BHMIN,Mina Salman,26.2,50.6167
BHSIT,Sitra,26.15,50.6667
BJCOO,Cotonou,6.3333,2.5333
BMBDA,Hamilton,32.2833,-64.7833
BMSGE,St Georges,32.3667,-64.7
BNKUB,Kuala Belait,4.6333,114.2
BNMUA,Muara,5.0167,115.0667
BRBEL,Belem,-1.4667,-48.4833
BRFOR,Fortaleza,-3.6833,-38.55
BRIBB,Imbituba,-28.2167,-48.6333
BRMAO,Manaus,-3.1333,-60.0
BRPNG,Paranagua,-25.5,-48.5
BRPOA,Porto Alegre,-30.0833,-51.25
BRREC,Recife,-8.0667,-34.8667
BRRIG,Rio Grande,-32.05,-52.0833
BRRIO,Rio de Janeiro,-22.9,-43.2
BRSSA,Salvador,-13.0167,-38.5833
BRSSZ,Santos,-23.9333,-46.3167
BRVIX,Vitoria,-20.3167,-40.2833
BSFPO,Freeport,25.0,-78.7667
BSNAS,Nassau,25.0833,-77.3333
BZBZE,Belize City,17.4833,-88.1833
CABEC,Becancour,46.4,-72.3833
CACHV,Churchill,58.7833,-94.2
CAHAL,Halifax,44.65,-63.5667
CAHAM,Hamilton,43.2833,-79.8333
CAMTR,Montreal,45.5,-73.5833
CANNO,Nanaimo,49.1667,-123.9333
CANWE,Fraser River Port,49.35,-122.9
CASEI,Sept-Iles,50.1833,-66.3833
CASJF,St Johns,47.5667,-52.7
CASYD,Sydney,46.15,-60.2
CATHU,Thunder Bay,48.4167,-89.2167
CATOR,Toronto,43.6333,-79.3833
CATRR,Trois-Rivieres,46.3667,-72.5667
CAVAN,Vancouver,49.2833,-123.1167
CAWND,Windsor,42.3167,-83.0667
CGPNR,Pointe Noire,-4.7833,11.8167
CHBSL,Basel,47.55,7.5667
CIABJ,Abidjan,5.3,-4.0
CLANF,Antofagasta,-23.65,-70.4167
CLARI,Arica,-18.4667,-70.3333
CLCNR,Chanaral,-26.35,-70.6333
CLIQQ,Iquique,-20.2,-70.1333
CLPMC,Puerto Montt,-41.4667,-72.95
CLPUQ,Punta Arenas,-53.1667,-70.9
CLSAI,San Antonio,-33.5833,-71.6167
CLSVE,San Vicente,-36.7333,-73.15
CLTAL,Talcahuano,-36.6833,-73.1
CLVAP,Valparaiso,-33.0333,-71.6333
CMDLA,Douala,4.05,9.7
CMKBI,Kribi,2.9333,9.9333
CMPAB,Alberni,49.2333,-124.8
CMTKC,Tiko,4.0667,9.4
CNCAN,Guangzhou,23.1,113.2333
CNDLC,Dalian,38.9167,121.6667
CNFOC,Fuzhou,26.05,119.3
CNHAK,Haikou,20.0167,110.2667
CNLYG,Lianyungang,34.7333,119.45
CNNGB,Ningbo,29.8667,121.5167
CNNTG,Nantong,32.0,120.8
CNSHA,Shanghai,31.2333,121.4667
CNSHP,Qinhuangdao,40.0,119.5
CNSWA,Shantou,23.3333,116.75
CNTAO,Qingdao,36.05,120.3333
CNTSN,Tianjin,39.1,117.1667
CNXMN,Xiamen,24.45,118.0333
CNZHA,Zhanjiang,21.1833,110.4
COBAQ,Barranquilla,10.9667,-74.7833
COBUN,Buenaventura,3.8833,-77.0833
COCTG,Cartagena,10.4333,-75.55
COPBO,Puerto Bolivar,12.2667,-71.9667
COTCO,Tumaco,1.8167,-78.75
COTRB,Turbo,8.0,-76.8333
CRCAL,Caldera,9.9,-84.7167
CRGLF,Golfito,8.6167,-83.1667
CRPAS,Puntarenas,9.9667,-84.8333
CRXQP,Quepos,9.4167,-84.1667
CSBAR,Bar,42.0833,19.05
CSKOT,Kotor,42.45,18.7667
CUHAV,Havana,23.15,-82.35
CUMZO,Manzanillo,20.3333,-77.2
CUNVT,Nuevitas,21.55,-77.2667
CUOMA,Matanzas,23.05,-81.5667
CUSCU,Santiago de Cuba,19.8333,-75.8667
CVPGR,Porto Grande,16.8833,-25.0
CYAKT,Akrotiri,34.5667,33.0333
CYFMG,Famagusta,35.1167,33.95
CYLAT,Larnaca,35.05,33.4
CYLMS,Limassol,34.65,33.0333
CYPFO,Paphos,34.75,32.4
CYVAS,Vassiliko,34.7167,33.3167
DEBKE,Brake,53.3333,8.4833
DEBRE,Bremen,53.1167,8.75
DEBRV,Bremerhaven,53.55,8.5833
DEDUI,Duisburg,51.45,6.7167
DEDUS,Dusseldorf,51.2167,6.7833
DEEME,Emden,53.35,7.2
DEHAM,Hamburg,53.55,9.9833
DEKAE,Karlsruhe,49.05,8.3333
DEKEL,Kiel,54.3167,10.1667
DELBC,Lubeck,53.8667,10.6833
DEMHG,Mannheim,49.5333,8.5
DERSK,Rostock,54.15,12.1333
DEWVN,Wilhelmshaven,53.5333,8.1333
DJJIB,Djibouti,11.6,43.1333
DKAAR,Aarhus,56.1667,10.2167
DKEBJ,Esbjerg,55.4667,8.4333
DKFDH,Frederikshavn,57.4667,10.55
DKFRC,Fredericia,55.55,9.75
DKGRE,Grenaa,56.4167,10.9333
DKODE,Odense,55.4167,10.3833
DKRNN,Ronne,55.0833,14.6833
DMPOR,Portsmouth,15.5667,-61.4667
DMRSU,Roseau,15.2833,-61.4
DOBRX,Barahona,18.2,-71.0667
DOHAI,Rio Haina,18.4167,-70.0
DOLRM,La Romana,18.45,-69.0167
DOPOP,Puerto Plata,19.8167,-70.7
DOSDQ,Santo Domingo,18.4667,-69.9
DOSPM,San Pedro de Macoris,18.4333,-69.3
DZAAE,Annaba,36.9667,7.7833
DZALG,Algiers,36.75,3.05
DZAZW,Arzew,35.8333,-0.1333
DZBJA,Bejaia,36.75,5.0833
DZDEL,Dellys,36.9167,3.9167
DZGHA,Ghazaouet,35.1,-1.8667
DZMOS,Mostaganem,35.9333,0.0833
DZORN,Oran,35.7167,-0.65
DZSKI,Skikda,36.8833,6.9
DZTEN,Tenes,36.5833,1.3
ECESM,Esmeraldas,1.0,-79.6333
ECGYE,Guayaquil,-2.2667,-79.9
ECLLD,La Libertad,-2.2,-80.9167
ECMEC,Manta,-0.9167,-80.7167
ECPBO,Puerto Bolivar,-3.25,-80.0167
ECSLR,San Lorenzo,-1.1667,-78.8333
EEPYA,Parnu,58.3833,24.4833
EETLL,Tallinn,59.45,24.7667
EGDAM,Damietta,31.4667,31.75
EGEDK,Alexandria,31.1333,29.8167
EGPSD,Port Said,31.2667,32.3167
EGSUZ,Suez,29.9667,32.55
ESAGP,Malaga,36.7167,-4.4167
ESAVS,Aviles,43.5833,-5.9167
ESBCN,Barcelona,41.3333,2.1667
ESBIO,Bilbao,43.2833,-2.9333
ESCEU,Ceuta,35.8833,-5.3167
ESLPA,Las Palmas,28.0833,-15.45
ESSCT,Santa Cruz de Tenerife,28.4667,-16.2333
FIHEL,Helsinki,60.1667,24.95
FIHMN,Hamina,60.5667,27.1833
FIKOK,Kokkola,63.8333,23.1333
FIKTK,Kotka,60.4667,26.95
FILOV,Lovisa,60.4,26.2667
FIOUL,Oulu,65.0,25.4167
FIPOR,Pori,61.6,21.4833
FIRAUM,Rauma,61.1333,21.5
FITKU,Turku,60.45,22.25
FIUKI,Uusikaupunki,60.8,21.4
FIVAA,Vaasa,63.1,21.6
FJLBS,Labasa,-16.4333,179.2333
FJLEV,Levuka,-17.6833,178.85
FJLTK,Lautoka,-17.6,177.4333
FJSUV,Suva,-18.1333,178.4333
FJSVU,Savu Savu,-16.8167,179.3
FMPNI,Pohnpei,6.9167,158.1667
FOKVI,Klaksvik,62.2333,-6.5833
FOTHO,Torshavn,62.0,-6.7667
FRBOD,Bordeaux,44.8333,-0.5667
FRBOL,Boulogne Sur Mer,50.75,1.5667
FRCER,Cherbourg,49.6333,-1.6333
FRDKK,Dunkerque,51.05,2.3667
FRLEH,Le Havre,49.5,-0.1167
FRLPE,La Rochelle-Pallice,46.15,-1.1667
FRMRS,Marseille,43.3167,5.3667
FRNTE,Nantes-St. Nazaire,47.2333,-1.5667
FRPAR,Paris,48.95,2.2667
FRSML,St Malo,48.65,-2.0167
FRSXB,Strasbourg,48.5667,7.7
FRTLN,Toulon,43.1167,5.9167
FRURO,Rouen,49.4333,1.1000
GACLZ,Cap Lopez,-0.6333,8.7
GALBV,Libreville,0.2833,9.5
GAOWE,Owendo,0.2833,9.5
GAPOG,Port Gentil,-0.7167,8.8
GBABD,Aberdeen,57.1333,2.0667
GBBEL,Belfast,54.6,5.9333
GBBRS,Bristol,51.5,2.7167
GBDVR,Dover,51.1167,1.3
GBFAL,Falmouth,50.15,5.0667
GBFXT,Felixstowe,51.95,1.35
GBGLW,Glasgow,55.8667,4.35
GBGRG,Grangemouth,56.0167,3.7167
GBHUL,Hull,53.7333,0.2333
GBLEI,Leith,55.9833,3.1667
